id,source,language,era,text
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line1.txt,scribblelens,nl,17c,buijten ende setten nevens ons om redenen als voornoemt Des
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line0.txt,scribblelens,nl,17c,mede int jacht den Hasewint een galliooth ende een barck
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line2.txt,scribblelens,nl,17c,nacht cregen een tamelijcke landwintge daer mede
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line3.txt,scribblelens,nl,17c,wij moij voort raeckten
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line7.txt,scribblelens,nl,17c,Florij Ontrent de middach quam oock op dees reede het
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line6.txt,scribblelens,nl,17c,compagnie soldaten sterck 109 mannen van capiteijn Pierre Joan
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line4.txt,scribblelens,nl,17c,Anno 1643 den 11 januarij op d' rede van Sint Aleixo
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line5.txt,scribblelens,nl,17c,Des mergens is alhier gearriveert een barcke met de
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line23.txt,scribblelens,nl,17c,met ballast water ende branthout te halen soo bij
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line22.txt,scribblelens,nl,17c,op alle de vier schepen gestadich besich geweest
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line20.txt,scribblelens,nl,17c,alle mede door ordre van wel gemelte heer generael
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line21.txt,scribblelens,nl,17c,opt schip Vlissingen sijn overgenomen Voorts is het volck
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line19.txt,scribblelens,nl,17c,van capiteijn Albert Vosterman sterck 112 personen die
scribblelens.corpus.v1.2_scribblelens.corpus.v1_nl_brouwer.chili_32_line25.txt,scribblelens,nl,17c,3 ofe 4 dagen te enenmale claer te wesen
